Leg 1,Leg 2,Hypotenuse
1,1,1.4142135623730951
1,2,2.23606797749979
1,3,3.1622776601683795
1,4,4.123105625617661
1,5,5.0990195135927845
1,6,6.082762530298219
1,7,7.0710678118654755
1,8,8.06225774829855
1,9,9.055385138137417
1,10,10.04987562112089
2,2,2.8284271247461903
2,3,3.605551275463989
2,4,4.47213595499958
2,5,5.385164807134504
2,6,6.324555320336759
2,7,7.280109889280518
2,8,8.246211251235321
2,9,9.219544457292887
2,10,10.198039027185569
3,3,4.242640687119285
3,4,5.0
3,5,5.830951894845301
3,6,6.708203932499369
3,7,7.615773105863909
3,8,8.54400374531753
3,9,9.486832980505138
3,10,10.44030650891055
4,4,5.656854249492381
4,5,6.4031242374328485
4,6,7.211102550927978
4,7,8.06225774829855
4,8,8.94427190999916
4,9,9.848857801796104
4,10,10.770329614269007
5,5,7.0710678118654755
5,6,7.810249675906654
5,7,8.602325267042627
5,8,9.433981132056603
5,9,10.295630140987
5,10,11.180339887498949
6,6,8.48528137423857
6,7,9.219544457292887
6,8,10.0
6,9,10.816653826391969
6,10,11.661903789690601
7,7,9.899494936611665
7,8,10.63014581273465
7,9,11.40175425099138
7,10,12.206555615733702
8,8,11.313708498984761
8,9,12.041594578792296
8,10,12.806248474865697
9,9,12.727922061357855
9,10,13.45362404707371
10,10,14.142135623730951
